SortOrder,Tblname,AttributeLabel,AttributeDescription,AttributeUnit
57,EMRI_Data,Si_pct_ICP60,"Silicon, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.01-40% Si. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. However, a few samples were reported only as >40.0 and these can be identified with the replaced value of 40.01111. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
58,EMRI_Data,Ti_pct_ICP60,"Titanium, in weight percent, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60).  Method detection range: 0.01-25% Ti. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",weight percent (% or pct)
59,EMRI_Data,Ag_ppm_ICP60,"Silver, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 1-1,000 ppm Ag. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
60,EMRI_Data,As_ppm_ICP60,"Arsenic, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 5-100,000 ppm As. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
61,EMRI_Data,B_ppm_ICP60,"Boron, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 10-10,000 ppm B. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
62,EMRI_Data,Ba_ppm_ICP60,"Barium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.5-10,000 ppm Ba. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. However, a few samples were reported only as >10000. These can be identified with the replaced value of 10000.1111. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
63,EMRI_Data,Be_ppm_ICP60,"Beryllium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 5-2,500 ppm Be. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
64,EMRI_Data,Bi_ppm_ICP60,"Bismuth, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-1,000 ppm Bi. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
65,EMRI_Data,Cd_ppm_ICP60,"Cadmium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.2-10,000 ppm Cd. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
66,EMRI_Data,Ce_ppm_ICP60,"Cerium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-10,000 ppm Ce. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
67,EMRI_Data,Co_ppm_ICP60,"Cobalt, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.5-10,000 ppm Co. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
68,EMRI_Data,Cr_ppm_ICP60,"Chromium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 10-100,000 ppm Cr. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
69,EMRI_Data,Cs_ppm_ICP60,"Cesium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-10,000 ppm Cs. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
70,EMRI_Data,Cu_ppm_ICP60,"Copper, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 5-50,000 ppm Cu. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
71,EMRI_Data,Dy_ppm_ICP60,"Dysprosium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.05-1,000 ppm Dy. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
72,EMRI_Data,Er_ppm_ICP60,"Erbium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.05-1,000 ppm Er. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
73,EMRI_Data,Eu_ppm_ICP60,"Europium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.05-1,000 ppm Eu. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
74,EMRI_Data,Ga_ppm_ICP60,"Gallium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.01-1,000 ppm Ga. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
75,EMRI_Data,Gd_ppm_ICP60,"Gadolinium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.05-1,000 ppm Gd. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
76,EMRI_Data,Ge_ppm_ICP60,"Germanium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 1-1,000 ppm Ge. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
77,EMRI_Data,Hf_ppm_ICP60,"Hafnium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 1-10,000 ppm Hf. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
78,EMRI_Data,Ho_ppm_ICP60,"Holmium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.05-1,000 ppm Ho. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
79,EMRI_Data,In_ppm_ICP60,"Indium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.2-1,000 ppm In. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
80,EMRI_Data,La_ppm_ICP60,"Lanthanum, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-10,000 ppm La. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
81,EMRI_Data,Li_ppm_ICP60,"Lithium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 10-50,000 ppm Li. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
82,EMRI_Data,Lu_ppm_ICP60,"Lutetium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.05-1,000 ppm Lu. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
83,EMRI_Data,Mn_ppm_ICP60,"Manganese, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 10-100,000 ppm Mn. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
84,EMRI_Data,Mo_ppm_ICP60,"Molybdenum, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 2-10,000 ppm Mo. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
85,EMRI_Data,Nb_ppm_ICP60,"Niobium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-10,000 ppm Nb. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
86,EMRI_Data,Nd_ppm_ICP60,"Neodymium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-10,000 ppm Nd. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
87,EMRI_Data,Ni_ppm_ICP60,"Nickel, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 5-10,000 ppm Ni. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
88,EMRI_Data,Pb_ppm_ICP60,"Lead, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 5-50,000 ppm Pb. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
89,EMRI_Data,Pr_ppm_ICP60,"Praseodymium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.05-1,000 ppm Pr. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
90,EMRI_Data,Rb_ppm_ICP60,"Rubidium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.2-10,000 ppm Rb. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
91,EMRI_Data,Re_ppm_ICP60,"Rhenium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.02-500 ppm Re. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
92,EMRI_Data,Sb_ppm_ICP60,"Antimony, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-10,000 ppm Sb. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
93,EMRI_Data,Sc_ppm_ICP60,"Scandium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 5-50,000 ppm Sc. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
94,EMRI_Data,Se_ppm_ICP60,"Selenium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 5-1,000 ppm Se. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
95,EMRI_Data,Sm_ppm_ICP60,"Samarium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-1,000 ppm Sm. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
96,EMRI_Data,Sn_ppm_ICP60,"Tin, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 1-10,000 ppm Sn. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
97,EMRI_Data,Sr_ppm_ICP60,"Strontium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.1-10,000 ppm Sr. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
98,EMRI_Data,Ta_ppm_ICP60,"Tantalum, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.5-10,000 ppm Ta. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
99,EMRI_Data,Tb_ppm_ICP60,"Terbium, in parts per million by weight, determined by 60 Element ICP-OES-MS, Sodium Peroxide Fusion (C_ICPOES_MS-60). Method detection range: 0.05-1,000 ppm Tb. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). Sample solutions with concentrations exceeding the Upper Detection Limit were diluted and reanalyzed to provide an actual concentration value. A blank or NULL value indicates that no data are available.",parts per million by weight (ppm)
